Files,DNE,RFI,OPCR,Slope,alpha,Modified in v2
UF-H-120930-61-48-R_aligned.ply,1475.323655,0.052959439,1159.88,155.03227,,
UF-H-120930-61-64-R_aligned.ply,2071.241566,0.081251905,1293.25,29.58875642,,TRUE
UF-H-120930-63-23-L_aligned.ply,682.9128175,0.026888835,957.62,19.07118321,,
UF-H-120930-64-68-L_aligned.ply,1415.137491,0.048525861,1202.12,23.30194146,,
UF-H-120930-65-25-R_aligned.ply,1038.682222,0.03096024,1062.88,18.95915449,,
UF-H-120930-65-52-L_aligned.ply,769.5589421,0.032107688,1000.62,20.02083762,,
UF-H-120930-87-71-R_aligned.ply,2618.194065,0.077708413,1427.88,28.52989482,,
UF-H-120930-88-67-L_aligned.ply,1188.94428,0.047612374,1088.75,23.4508761,,
UF-H-120930-89-45-L_aligned.ply,762.011887,0.031392948,967.38,159.8150696,,
UF-H-120930-89-45-R_aligned.ply,1430.662203,0.048427537,1173.62,23.32681804,,
UF-H-120930-9-55-R_aligned.ply,2067.893877,0.070727171,1273.75,28.07856371,,
UF-H-120930-90-27-R_aligned.ply,811.044684,0.029946525,990.12,18.62161282,,
UF-H-120930-92-24-L_aligned.ply,763.8978765,0.03219992,961.12,20.46296011,,
UF-H-14114-100-23-L_aligned.ply,1187.231409,0.041100217,925.38,159.8598534,,
UF-H-14114-104-57-L_aligned.ply,587.2399628,0.029798402,1014.88,19.91450947,,
UF-H-14114-105-38-L_aligned.ply,1005.943273,0.040433205,1033,21.22115645,,
UF-H-14114-122-23-R_aligned.ply,348.0645414,0.030674965,677.5,159.8941437,,
UF-H-14114-122-39-L_aligned.ply,1704.886097,0.050056592,1232,23.33560549,,
UF-H-14114-123-36-R_aligned.ply,545.2449735,0.03631391,804.62,157.7890928,,
UF-H-14114-125-24-L_aligned.ply,970.0694532,0.040751199,847.38,21.34975376,,
UF-H-14114-125-57-R_aligned.ply,563.0222164,0.036322467,804.12,21.95445307,,
UF-H-14114-129-54-L_aligned.ply,1225.655749,0.042944418,1082.38,22.02306791,,
UF-H-14114-146-25-R_aligned.ply,1099.567273,0.054818467,881.75,155.2617039,,TRUE
UF-H-14114-147-20-L_aligned.ply,2363.087822,0.085226071,1146,28.3066855,,
UF-H-14114-147-36-R_aligned.ply,916.8884723,0.04686286,968.12,156.4023003,,
UF-H-14114-148-50-R_aligned.ply,607.1945325,0.034204965,872.75,159.8277936,,
UF-H-14114-150-47-L_aligned.ply,1793.227261,0.05155918,1252.88,156.9459883,,
UF-H-14114-152-33-L_aligned.ply,2660.754062,0.084284669,1316,28.50740366,,TRUE
UF-H-14114-19-40-L_aligned.ply,544.467577,0.029935182,895,160.0038217,,
UF-H-14114-20-22-L_aligned.ply,959.8085576,0.039728057,1030.75,22.14389897,,
UF-H-14114-25-30-L_aligned.ply,755.4440582,0.035471188,976.5,20.90872724,,
UF-H-14114-41-28-R_aligned.ply,1643.646761,0.029905741,1475.38,161.9873339,,
UF-H-14114-45-60-R_aligned.ply,719.4281092,0.022022855,1492.62,17.21198251,,
UF-H-14114-46-43-L_aligned.ply,583.7515409,0.0269598,1008.12,160.4726863,,
UF-H-14114-47-37-R_aligned.ply,1318.506017,0.029975586,1289.62,162.1620261,,
UF-H-14114-48-59-L_aligned.ply,525.1656695,0.028124946,922,160.5299079,,
UF-H-14114-49-21-L_aligned.ply,646.105413,0.029003244,925.75,160.5864834,,
UF-H-14114-69-60-R_aligned.ply,748.562678,0.029905225,1133.25,160.4556746,,
UF-H-14114-71-25-R_aligned.ply,1110.858532,0.029671694,1192.38,161.3623598,,
